,floor,url,price,title,community,location,community_c,community_loc,duration
224,高层/6层,http://sh.lianjia.com/zufang/shz3440187.html,3300,田林十二村，上门实拍，温馨之家，有钥匙立即看,田林十二村,田林,田林十二村,"121.428777,31.171826",1906.0
260,中层/6层,http://sh.lianjia.com/zufang/shz3450904.html,3800,温馨之家，交通便利，上门实勘，黄金楼层,田林十二村,田林,田林十二村,"121.428777,31.171826",1906.0
15,高层/7层,http://sh.lianjia.com/zufang/shz3316718.html,4000,火爆热门，上门实勘，南北通，1室1厅,田林十二村,田林,田林十二村,"121.428777,31.171826",1906.0
278,中层/6层,http://sh.lianjia.com/zufang/shz3455818.html,3800,田林十二村，上门实勘，新鲜挂牌，温馨一室,田林十二村,田林,田林十二村,"121.428777,31.171826",1906.0
861,低层/18层,http://sh.lianjia.com/zufang/shz3456055.html,2500,中瑞公寓，有爱有家，小户型，低区出入方便,中瑞公寓,田林,中瑞公寓,"121.420395,31.186539",1907.0
1652,高层/5层,http://sh.lianjia.com/zufang/shz3379810.html,3800,德州二村，抢鲜笋盘，采光无敌好，好房好心情,德州二村,世博,德州二村,"121.492123,31.169434",1911.0
1780,高层/5层,http://sh.lianjia.com/zufang/shz3379810.html,3800,德州二村，抢鲜笋盘，采光无敌好，好房好心情,德州二村,世博,德州二村,"121.492123,31.169434",1911.0
1821,中层/6层,http://sh.lianjia.com/zufang/shz3444548.html,3700,德州二村，1室1厅1卫，生活很便利，南北通,德州二村,世博,德州二村,"121.492123,31.169434",1911.0
47,高层/5层,http://sh.lianjia.com/zufang/shz3434093.html,4000,随到随看，上门实拍，人气房源，如您所见,德州二村,世博,德州二村,"121.492123,31.169434",1911.0
561,中层/5层,http://sh.lianjia.com/zufang/shz3425577.html,3500,空气清新，链家好房，上门实拍，地铁沿线,德州二村,世博,德州二村,"121.492123,31.169434",1911.0
1346,高层/6层,http://sh.lianjia.com/zufang/shz3383062.html,3800,1室1厅，链家好房，空气清新，上门实拍,德州二村,世博,德州二村,"121.492123,31.169434",1911.0
240,高层/6层,http://sh.lianjia.com/zufang/shz3435610.html,4000,潍坊八村，空气清新，小户型，业主刚降价,潍坊八村,潍坊,潍坊八村,"121.527360,31.218415",1912.0
1810,中层/6层,http://sh.lianjia.com/zufang/shz3447797.html,4000,一链倾城，地铁沿线，新上房源，好楼层,上南六村,世博,上南六村,"121.501089,31.177074",1913.0
1808,中层/6层,http://sh.lianjia.com/zufang/shz3457676.html,4000,上南六村，温馨之家，光线充足，地铁直达,上南六村,世博,上南六村,"121.501089,31.177074",1913.0
1807,高层/6层,http://sh.lianjia.com/zufang/shz3458608.html,3300,上南六村，高区阳光房，1室0厅1卫，业主新委托,上南六村,世博,上南六村,"121.501089,31.177074",1913.0
1462,高层/5层,http://sh.lianjia.com/zufang/shz3411876.html,3600,一链倾城，毗邻地铁，温馨之家，高区采光好,上南六村,世博,上南六村,"121.501089,31.177074",1913.0
1953,高层/5层,http://sh.lianjia.com/zufang/shz3378891.html,3700,卫东新村，错过不再有，出行方便，采光好,卫东新村,洋泾,卫东新村,"121.542703,31.245251",1914.0
60,低层/6层,http://sh.lianjia.com/zufang/shz3306736.html,2900,热门好房，马上看房，上门实拍，上下楼方便,宜山路701弄,田林,宜山路701弄,"121.417836,31.173672",1917.0
891,高层/6层,http://sh.lianjia.com/zufang/shz3346025.html,3500,上南路3848弄，1室1厅，错过不再有，交通便利,上南路3848弄,三林,上南路3848弄,"121.505296,31.150471",1919.0
1176,低层/3层,http://sh.lianjia.com/zufang/shz3380075.html,3200,热门带看，低楼层，地铁直达，上门实勘,上溶新村,南码头,上溶新村,"121.512258,31.197332",1919.0
284,低层/3层,http://sh.lianjia.com/zufang/shz3446444.html,3700,业主新委托，观望后悔莫及，1室0厅1卫，上下楼方便,上溶新村,南码头,上溶新村,"121.512258,31.197332",1919.0
1156,低层/5层,http://sh.lianjia.com/zufang/shz3384065.html,3400,上门实拍，业主刚降价，南北通透，地铁房,日月新苑,三林,日月新苑,"121.504888,31.149724",1921.0
531,高层/6层,http://sh.lianjia.com/zufang/shz3443471.html,3800,德州七村，新出好房，高清实拍，放心好房,德州七村,世博,德州七村,"121.486673,31.165610",1922.0
1258,高层/6层,http://sh.lianjia.com/zufang/shz3440996.html,3400,德州七村，上门实拍，采光好，交通便利,德州七村,世博,德州七村,"121.486673,31.165610",1922.0
938,高层/6层,http://sh.lianjia.com/zufang/shz3380423.html,3500,德州七村，视野很好，吉宅出租，交通便利,德州七村,世博,德州七村,"121.486673,31.165610",1922.0
332,高层/6层,http://sh.lianjia.com/zufang/shz3404431.html,3800,德州七村，地铁沿线，上门实拍，降价出租,德州七村,世博,德州七村,"121.486673,31.165610",1922.0
1815,中层/6层,http://sh.lianjia.com/zufang/shz3457091.html,3800,德州七村，好楼层，出行方便，吉宅出租,德州七村,世博,德州七村,"121.486673,31.165610",1922.0
735,中层/6层,http://sh.lianjia.com/zufang/shz3458638.html,3600,德州七村，高清实拍，毗邻地铁，放心好房,德州七村,世博,德州七村,"121.486673,31.165610",1922.0
258,高层/6层,http://sh.lianjia.com/zufang/shz3436062.html,3300,1室1厅1卫，交通便利，放心好房，新出房源,上钢四村,世博,上钢四村,"121.491920,31.172897",1923.0
1657,高层/5层,http://sh.lianjia.com/zufang/shz3395653.html,3800,上钢四村，生活很便利，观望后悔莫及，采光这边独好,上钢四村,世博,上钢四村,"121.491920,31.172897",1923.0
1465,高层/5层,http://sh.lianjia.com/zufang/shz3384340.html,3800,上钢四村，采光好，业主刚降价，1室1厅1卫,上钢四村,世博,上钢四村,"121.491920,31.172897",1923.0
1723,高层/5层,http://sh.lianjia.com/zufang/shz3407359.html,3000,上钢四村，新鲜挂牌，如您所见，1室0厅1卫,上钢四村,世博,上钢四村,"121.491920,31.172897",1923.0
1288,低层/5层,http://sh.lianjia.com/zufang/shz3452129.html,3700,房型正气，新鲜好房，低区出入方便，紧邻地铁,上钢四村,世博,上钢四村,"121.491920,31.172897",1923.0
31,低层/23层,http://sh.lianjia.com/zufang/shz3420010.html,3900,玉兰花苑，小户型，上门实勘，低区出入方便,玉兰花苑,徐家汇,玉兰花苑,"121.435037,31.185887",1925.0
1391,高层/6层,http://sh.lianjia.com/zufang/shz3424453.html,4000,上门实拍，交通便利，视野开阔，1室0厅,西邱小区,塘桥,西邱小区,"121.513880,31.206608",1927.0
1279,低层/6层,http://sh.lianjia.com/zufang/shz3449971.html,3500,西邱小区，上门实勘，一链倾城，1室1厅1卫,西邱小区,塘桥,西邱小区,"121.513880,31.206608",1927.0
1143,高层/4层,http://sh.lianjia.com/zufang/shz1032709.html,3460,田林公寓，高区采光好，观望后悔莫及，小户型,田林公寓,漕河泾,田林公寓,"121.416395,31.171164",1933.0
1144,高层/4层,http://sh.lianjia.com/zufang/shz1032712.html,3460,田林公寓，1室1厅1卫，空气清新，如您所见,田林公寓,漕河泾,田林公寓,"121.416395,31.171164",1933.0
1287,中层/6层,http://sh.lianjia.com/zufang/shz3452054.html,4000,建业新村，1室1厅1卫，好楼层，上门实勘,建业新村,南码头,建业新村,"121.522927,31.189676",1941.0
1711,高层/6层,http://sh.lianjia.com/zufang/shz3453858.html,3200,建业新村，光线非常好，地铁直达，1室1厅,建业新村,南码头,建业新村,"121.522927,31.189676",1941.0
1788,高层/6层,http://sh.lianjia.com/zufang/shz3453858.html,3200,建业新村，光线非常好，地铁直达，1室1厅,建业新村,南码头,建业新村,"121.522927,31.189676",1941.0
171,中层/6层,http://sh.lianjia.com/zufang/shz3404357.html,3700,昌里路301弄，上门实勘，业主降价出租，温馨之家,昌里路301弄,世博,昌里路301弄,"121.492391,31.174385",1942.0
6,高层/6层,http://sh.lianjia.com/zufang/shz3446465.html,3500,竹园新村，生活很便利，来电即看，刚刚降价,竹园新村（浦东）,源深,竹园新村,"121.531330,31.228470",1955.0
46,高层/6层,http://sh.lianjia.com/zufang/shz3350121.html,4000,竹园新村，随到随看，人气房源，上门实拍,竹园新村（浦东）,源深,竹园新村,"121.531330,31.228470",1955.0
93,中层/6层,http://sh.lianjia.com/zufang/shz3450992.html,4000,竹园新村，上门实勘，有钥匙立即看，黄金楼层,竹园新村（浦东）,源深,竹园新村,"121.531330,31.228470",1955.0
1183,低层/5层,http://sh.lianjia.com/zufang/shz3435924.html,3200,上门实拍，小户型，生活很便利，实地看房,上钢三村,世博,上钢三村,"121.490928,31.174996",1957.0
738,中层/5层,http://sh.lianjia.com/zufang/shz3403871.html,4000,景观房，业主降价，一链倾城，毗邻地铁,上钢三村,世博,上钢三村,"121.490928,31.174996",1957.0
1185,低层/5层,http://sh.lianjia.com/zufang/shz3435924.html,3200,上门实拍，小户型，生活很便利，实地看房,上钢三村,世博,上钢三村,"121.490928,31.174996",1957.0
170,低层/6层,http://sh.lianjia.com/zufang/shz3396633.html,4000,上门实勘，有钥匙立即看，交通方便，吉宅出租,沂南路54弄,南码头,沂南路54弄,"121.509350,31.198261",1957.0
1387,中层/6层,http://sh.lianjia.com/zufang/shz3422619.html,3500,沂南路54弄，上门实拍，空气清新，链家好房,沂南路54弄,南码头,沂南路54弄,"121.509350,31.198261",1957.0
458,中层/6层,http://sh.lianjia.com/zufang/shz3413954.html,3800,空气清新，吉宅出租，上门实拍，随时看房,潍坊九村,潍坊,潍坊九村,"121.526617,31.221904",1964.0
1774,高层/6层,http://sh.lianjia.com/zufang/shz3437362.html,3500,潍坊九村，新出房源，高区景观房，享受好房,潍坊九村,潍坊,潍坊九村,"121.526617,31.221904",1964.0
204,高层/6层,http://sh.lianjia.com/zufang/shz3383243.html,4000,视野开阔，有爱有家，热门房源，1室1厅,梅园三街坊,源深,梅园三街坊,"121.524245,31.234472",1967.0
930,高层/6层,http://sh.lianjia.com/zufang/shz3369357.html,3900,温馨一室，地铁直达，高区采光好，真实在租,梅园三街坊,源深,梅园三街坊,"121.524245,31.234472",1967.0
338,中层/6层,http://sh.lianjia.com/zufang/shz3433506.html,4000,微山二村，上门实勘，业主降价，有爱有家,微山二村,塘桥,微山二村,"121.513206,31.207359",1968.0
773,低层/5层,http://sh.lianjia.com/zufang/shz3450191.html,2800,潍坊一村，新鲜上架，地铁沿线，低区出入方便,潍坊一村,潍坊,潍坊一村,"121.521745,31.217532",1975.0
1059,中层/5层,http://sh.lianjia.com/zufang/shz3422156.html,3500,潍坊一村，1室1厅，好房好心情，毗邻地铁,潍坊一村,潍坊,潍坊一村,"121.521745,31.217532",1975.0
1018,中层/5层,http://sh.lianjia.com/zufang/shz3422156.html,3500,潍坊一村，1室1厅，好房好心情，毗邻地铁,潍坊一村,潍坊,潍坊一村,"121.521745,31.217532",1975.0
1827,高层/5层,http://sh.lianjia.com/zufang/shz3457400.html,3900,高区景观好，一室小户型，新鲜挂牌，放心好房,潍坊一村,潍坊,潍坊一村,"121.521745,31.217532",1975.0
1818,高层/5层,http://sh.lianjia.com/zufang/shz3457400.html,3900,高区景观好，一室小户型，新鲜挂牌，放心好房,潍坊一村,潍坊,潍坊一村,"121.521745,31.217532",1975.0
859,高层/7层,http://sh.lianjia.com/zufang/shz3305089.html,3800,桃林一小区，近地铁，上门实拍，1室1厅1卫,桃林一小区,源深,桃林一小区,"121.543387,31.227767",1976.0
1087,高层/7层,http://sh.lianjia.com/zufang/shz3305089.html,3800,桃林一小区，近地铁，上门实拍，1室1厅1卫,桃林一小区,源深,桃林一小区,"121.543387,31.227767",1976.0
1440,低层/6层,http://sh.lianjia.com/zufang/shz3303281.html,2800,杨南新村，小户型，南北通透，生活很便利,杨南新村,三林,杨南新村,"121.503368,31.150804",1984.0
1991,中层/6层,http://sh.lianjia.com/zufang/shz3389578.html,3600,凌三小区，光线充足，放心好房，上门实勘,凌三小区,洋泾,凌三小区,"121.543494,31.246763",1987.0
1630,中层/6层,http://sh.lianjia.com/zufang/shz3409427.html,3800,凌三小区，上门实勘，刚刚降价，1室1厅1卫,凌三小区,洋泾,凌三小区,"121.543494,31.246763",1987.0
842,高层/6层,http://sh.lianjia.com/zufang/shz3383400.html,3300,凌三小区，远离雾霾带，观望后悔莫及，上门实拍,凌三小区,洋泾,凌三小区,"121.543494,31.246763",1987.0
1979,高层/7层,http://sh.lianjia.com/zufang/shz3272485.html,3500,凌三小区，链家房源，采光无敌好，上门实拍,凌三小区,洋泾,凌三小区,"121.543494,31.246763",1987.0
1321,中层/7层,http://sh.lianjia.com/zufang/shz3366359.html,3400,凌三小区，黄金楼层，实地看房，业主降价,凌三小区,洋泾,凌三小区,"121.543494,31.246763",1987.0
1303,高层/5层,http://sh.lianjia.com/zufang/shz3453676.html,2900,南码头路193弄，地铁沿线，新鲜挂牌，1室0厅1卫,南码头路193弄,南码头,南码头路193弄,"121.509332,31.198968",1987.0
1306,高层/5层,http://sh.lianjia.com/zufang/shz3453676.html,2900,南码头路193弄，地铁沿线，新鲜挂牌，1室0厅1卫,南码头路193弄,南码头,南码头路193弄,"121.509332,31.198968",1987.0
1271,高层/5层,http://sh.lianjia.com/zufang/shz3446634.html,3500,新鲜好房，紧邻地铁，上门实勘，链家房源,南码头路193弄,南码头,南码头路193弄,"121.509332,31.198968",1987.0
2003,中层/7层,http://sh.lianjia.com/zufang/shz3424793.html,4000,上门实勘，一室小户型，链家房源，好楼层,凌三小区,洋泾,凌三小区,"121.543494,31.246763",1987.0
1227,高层/6层,http://sh.lianjia.com/zufang/shz3418913.html,3900,凌一小区，放心好房，上门实勘，视野开阔,凌一小区,洋泾,凌一小区,"121.540675,31.245082",1993.0
1727,高层/6层,http://sh.lianjia.com/zufang/shz3438537.html,3600,凌一小区，交通方便，好房好心情，一室小户型,凌一小区,洋泾,凌一小区,"121.540675,31.245082",1993.0
881,中层/6层,http://sh.lianjia.com/zufang/shz3310250.html,3800,凌一小区，光线充足，吉宅出租，1室1厅1卫,凌一小区,洋泾,凌一小区,"121.540675,31.245082",1993.0
1743,低层/6层,http://sh.lianjia.com/zufang/shz3442414.html,3500,凌一小区，享受好房，1室1厅1卫，低区出入方便,凌一小区,洋泾,凌一小区,"121.540675,31.245082",1993.0
1089,中层/6层,http://sh.lianjia.com/zufang/shz3310250.html,3800,凌一小区，光线充足，吉宅出租，1室1厅1卫,凌一小区,洋泾,凌一小区,"121.540675,31.245082",1993.0
1669,低层/6层,http://sh.lianjia.com/zufang/shz3442414.html,3500,凌一小区，享受好房，1室1厅1卫，低区出入方便,凌一小区,洋泾,凌一小区,"121.540675,31.245082",1993.0
935,高层/6层,http://sh.lianjia.com/zufang/shz3375886.html,3800,凌一小区，一室小户型，采光这边独好，交通便利,凌一小区,洋泾,凌一小区,"121.540675,31.245082",1993.0
1308,低层/6层,http://sh.lianjia.com/zufang/shz3399274.html,3830,凌一小区，上门实勘，新鲜好房，上下楼方便,凌一小区,洋泾,凌一小区,"121.540675,31.245082",1993.0
627,中层/6层,http://sh.lianjia.com/zufang/shz1015887.html,4000,上门实拍，光线充足，小户型，如您所见,宛南五村,龙华,宛南五村,"121.448348,31.180742",1994.0
392,高层/6层,http://sh.lianjia.com/zufang/shz3432795.html,4000,西木小区，小户型，交通方便，上门实拍,西木小区,斜土路,西木小区,"121.458814,31.194149",2001.0
38,高层/6层,http://sh.lianjia.com/zufang/shz3344665.html,3600,上门实拍，1室1厅，热门房源，生活很便利,西木小区,斜土路,西木小区,"121.458814,31.194149",2001.0
869,中层/5层,http://sh.lianjia.com/zufang/shz3424530.html,3600,西木小区，吉宅出租，交通方便，新上房源,西木小区,斜土路,西木小区,"121.458814,31.194149",2001.0
1376,低层/6层,http://sh.lianjia.com/zufang/shz3412607.html,3300,东三里桥路160弄，低楼层，链家房源，上门实勘,东三里桥路160弄,南码头,东三里桥路160弄,"121.510668,31.199184",2002.0
1246,低层/6层,http://sh.lianjia.com/zufang/shz3436732.html,3600,东三里桥路160弄，上门实勘，链家房源，低区出入方便,东三里桥路160弄,南码头,东三里桥路160弄,"121.510668,31.199184",2002.0
770,中层/6层,http://sh.lianjia.com/zufang/shz3447224.html,3300,新鲜上架，上门实拍，一室小户型，业主刚降价,东三里桥路160弄,南码头,东三里桥路160弄,"121.510668,31.199184",2002.0
413,低层/6层,http://sh.lianjia.com/zufang/shz3290832.html,3800,东三里桥路160弄，上门实拍，马上看房，地铁直达,东三里桥路160弄,南码头,东三里桥路160弄,"121.510668,31.199184",2002.0
1889,中层/17层,http://sh.lianjia.com/zufang/shz3404170.html,2300,金谊河畔，1室0厅0卫，出行方便，空气清新,金谊河畔,三林,金谊河畔,"121.515343,31.140957",2003.0
1692,中层/18层,http://sh.lianjia.com/zufang/shz3449339.html,3500,光线充足，小户型，房型正气，交通便利,绿缘公寓,花木,绿缘公寓,"121.548305,31.209654",2003.0
1566,高层/6层,http://sh.lianjia.com/zufang/shz3412904.html,3000,吉宅出租，一室小户型，业主刚降价，生活很便利,杨新路80弄,三林,杨新路80弄,"121.493985,31.164022",2007.0
1431,中层/6层,http://sh.lianjia.com/zufang/shz3368409.html,3200,杨新路80弄，紧邻地铁，1室1厅，上门实勘,杨新路80弄,三林,杨新路80弄,"121.493985,31.164022",2007.0
1685,高层/6层,http://sh.lianjia.com/zufang/shz3447485.html,3500,杨新路80弄，房型正气，温馨之家，地铁直达,杨新路80弄,三林,杨新路80弄,"121.493985,31.164022",2007.0
829,低层/4层,http://sh.lianjia.com/zufang/shz3444729.html,3000,华侨新村，如您所见，1室0厅，新出好房,华侨新村,徐家汇,华侨新村,"121.450956,31.186225",2023.0
1206,中层/6层,http://sh.lianjia.com/zufang/shz3442005.html,3500,真实在租，钥匙在手，好楼层，1室0厅,浦东南路2370弄,南码头,浦东南路2370弄,"121.511733,31.199850",2039.0
2002,高层/6层,http://sh.lianjia.com/zufang/shz3416933.html,3600,浦东南路2370弄，小户型，链家好房，上门实拍,浦东南路2370弄,南码头,浦东南路2370弄,"121.511733,31.199850",2039.0
122,低层/25层,http://sh.lianjia.com/zufang/shz3450831.html,4000,开发浦东，低楼层，新鲜挂牌，上门实拍,开发浦东,潍坊,开发浦东,"121.517650,31.225053",2041.0
348,中层/6层,http://sh.lianjia.com/zufang/shz3379701.html,4000,长春小区，链家好房，空气清新，生活很便利,长春小区,田林,长春小区,"121.485737,31.264002",2044.0
409,高层/6层,http://sh.lianjia.com/zufang/shz3339738.html,3800,东园二村，热门房源，光线非常好，降价出租,东园二村,陆家嘴,东园二村,"121.511409,31.231897",2047.0
1236,低层/6层,http://sh.lianjia.com/zufang/shz3429622.html,4000,低区出入方便，交通方便，如您所见，新出房源,南泉小区,塘桥,南泉小区,"121.522170,31.213070",2048.0
1263,中层/6层,http://sh.lianjia.com/zufang/shz3442413.html,3600,地铁沿线，上门实勘，小户型，新出房源,南泉小区,塘桥,南泉小区,"121.522170,31.213070",2048.0
1262,高层/6层,http://sh.lianjia.com/zufang/shz3442314.html,3300,南泉小区，地铁房，高区景观房，上门实拍,南泉小区,塘桥,南泉小区,"121.522170,31.213070",2048.0
1479,中层/6层,http://sh.lianjia.com/zufang/shz3449504.html,3000,南泉小区，温馨之家，链家好房，新鲜上架,南泉小区,塘桥,南泉小区,"121.522170,31.213070",2048.0
1960,中层/13层,http://sh.lianjia.com/zufang/shz1032463.html,3580,城家公寓，景观房，生活很便利，错过不再有,城家公寓,张江,城家公寓,"121.348372,31.192328",2051.0
942,高层/6层,http://sh.lianjia.com/zufang/shz3410343.html,2200,采光无敌好，好房好心情，紧邻地铁，1室1厅,东安四村,徐家汇,东安四村,"121.451337,31.186923",2055.0
147,高层/3层,http://sh.lianjia.com/zufang/shz3372662.html,3000,高清实拍，如您所见，钥匙在手，采光无敌好,金波小区,衡山路,金波小区,"121.441907,31.212363",2055.0
1395,高层/6层,http://sh.lianjia.com/zufang/shz3426627.html,3800,上南八村，视野很好，毗邻地铁，如您所见,上南八村,世博,上南八村,"121.502468,31.172762",2055.0
1758,高层/6层,http://sh.lianjia.com/zufang/shz3432012.html,3800,上南八村，生活很便利，光线非常好，温馨一室,上南八村,世博,上南八村,"121.502468,31.172762",2055.0
1663,低层/6层,http://sh.lianjia.com/zufang/shz3401524.html,3600,上南八村，吉宅出租，一室小户型，交通方便,上南八村,世博,上南八村,"121.502468,31.172762",2055.0
1244,中层/6层,http://sh.lianjia.com/zufang/shz3435564.html,4000,出行方便，空气清新，新鲜上架，小户型,上南八村,世博,上南八村,"121.502468,31.172762",2055.0
1414,中层/6层,http://sh.lianjia.com/zufang/shz3332614.html,4000,好楼层，小户型，上门实勘，毗邻地铁,上南八村,世博,上南八村,"121.502468,31.172762",2055.0
821,低层/6层,http://sh.lianjia.com/zufang/shz3438975.html,3500,东安四村，温馨一室，低楼层，吉宅出租,东安四村,徐家汇,东安四村,"121.451337,31.186923",2055.0
1313,高层/6层,http://sh.lianjia.com/zufang/shz3458526.html,3500,上南八村，新鲜上架，采光好，一链倾城,上南八村,世博,上南八村,"121.502468,31.172762",2055.0
1242,中层/6层,http://sh.lianjia.com/zufang/shz3434386.html,3500,浦三路724弄小区，上门实勘，空气清新，享受好房,浦三路724弄小区,世博,浦三路724弄小区,"121.517563,31.185504",2060.0
1394,高层/6层,http://sh.lianjia.com/zufang/shz3425957.html,4000,临沂一村，光线非常好，上门实勘，地铁房,临沂一村,南码头,临沂一村,"121.513174,31.198585",2060.0
1699,高层/6层,http://sh.lianjia.com/zufang/shz3451937.html,3500,新出房源，温馨之家，吉宅出租，交通方便,上南七村,世博,上南七村,"121.503130,31.174105",2061.0
1360,中层/6层,http://sh.lianjia.com/zufang/shz3401962.html,4000,一链倾城，上门实拍，温馨一室，景观房,上南七村,世博,上南七村,"121.503130,31.174105",2061.0
1166,低层/6层,http://sh.lianjia.com/zufang/shz3435453.html,3500,上南七村，降价出租，交通方便，上门实勘,上南七村,世博,上南七村,"121.503130,31.174105",2061.0
389,中层/7层,http://sh.lianjia.com/zufang/shz3388463.html,3500,地铁直达，上门实拍，小户型，降价房源,田林二村,田林,田林二村,"121.420090,31.170187",2062.0
1250,低层/6层,http://sh.lianjia.com/zufang/shz3437830.html,3200,德州六村，温馨之家，低楼层，好房好心情,德州六村,世博,德州六村,"121.492849,31.166232",2062.0
822,中层/5层,http://sh.lianjia.com/zufang/shz3439353.html,3200,黄金楼层，享受好房，近地铁，1室1厅,田林二村,田林,田林二村,"121.420090,31.170187",2062.0
221,中层/5层,http://sh.lianjia.com/zufang/shz3402108.html,3300,随到随看，上门实勘，有爱有家，温馨一室,田林二村,田林,田林二村,"121.420090,31.170187",2062.0
510,高层/5层,http://sh.lianjia.com/zufang/shz3445010.html,2600,田林二村，空气清新，观望后悔莫及，地铁直达,田林二村,田林,田林二村,"121.420090,31.170187",2062.0
1673,低层/6层,http://sh.lianjia.com/zufang/shz3443682.html,3500,金桂小区，吉宅出租，新上房源，1室1厅,金桂小区,花木,金桂小区,"121.549698,31.207269",2074.0
1105,低层/28层,http://sh.lianjia.com/zufang/shz3458970.html,2400,上下楼方便，新出好房，一室小户型，观望后悔莫及,华悦家园,漕河泾,华悦家园,"121.409556,31.165673",2075.0
1119,中层/35层,http://sh.lianjia.com/zufang/shz3333719.html,2300,华悦家园，1室1厅1卫，黄金楼层，如您所见,华悦家园,漕河泾,华悦家园,"121.409556,31.165673",2075.0
1065,低层/35层,http://sh.lianjia.com/zufang/shz3448645.html,2500,华悦家园，新出房源，好房好心情，上下楼方便,华悦家园,漕河泾,华悦家园,"121.409556,31.165673",2075.0
1112,低层/32层,http://sh.lianjia.com/zufang/shz3403701.html,3500,华悦家园，链家房源，1室1厅，上下楼方便,华悦家园,漕河泾,华悦家园,"121.409556,31.165673",2075.0
1069,中层/30层,http://sh.lianjia.com/zufang/shz3451999.html,3400,华悦家园，抢鲜笋盘，一室小户型，真实在租,华悦家园,漕河泾,华悦家园,"121.409556,31.165673",2075.0
867,中层/6层,http://sh.lianjia.com/zufang/shz3458125.html,3800,田林三村，1室1厅1卫，毗邻地铁，景观房,田林三村,田林,田林三村,"121.421679,31.171126",2075.0
1140,中层/35层,http://sh.lianjia.com/zufang/shz3350744.html,2600,华悦家园，好楼层，1室0厅，链家好房,华悦家园,漕河泾,华悦家园,"121.409556,31.165673",2075.0
873,高层/34层,http://sh.lianjia.com/zufang/shz3403660.html,2800,华悦家园，上门实拍，高区景观好，温馨之家,华悦家园,漕河泾,华悦家园,"121.409556,31.165673",2075.0
115,低层/6层,http://sh.lianjia.com/zufang/shz3415096.html,3950,田林三村，交通便利，低区出入方便，刚刚降价,田林三村,田林,田林三村,"121.421679,31.171126",2075.0
1118,高层/35层,http://sh.lianjia.com/zufang/shz3329803.html,2300,华悦家园，温馨一室，如您所见，空气清新,华悦家园,漕河泾,华悦家园,"121.409556,31.165673",2075.0
1070,低层/34层,http://sh.lianjia.com/zufang/shz3452001.html,2500,华悦家园，低楼层，有爱有家，小户型,华悦家园,漕河泾,华悦家园,"121.409556,31.165673",2075.0
435,低层/6层,http://sh.lianjia.com/zufang/shz3390781.html,3900,田林三村，地铁沿线，上门实拍，观望后悔莫及,田林三村,田林,田林三村,"121.421679,31.171126",2075.0
1076,低层/30层,http://sh.lianjia.com/zufang/shz3409106.html,2200,华悦家园，温馨之家，低楼层，业主新委托,华悦家园,漕河泾,华悦家园,"121.409556,31.165673",2075.0
504,中层/6层,http://sh.lianjia.com/zufang/shz3456392.html,4000,田林三村，地铁房，业主新委托，吉宅出租,田林三村,田林,田林三村,"121.421679,31.171126",2075.0
21,中层/5层,http://sh.lianjia.com/zufang/shz3390319.html,3000,光线充足，随到随看，真实在租，上门实拍,上南十村,世博,上南十村,"121.502811,31.170678",2079.0
1003,中层/6层,http://sh.lianjia.com/zufang/shz3413077.html,3700,上南十村，上门实拍，1室1厅1卫，地铁沿线,上南十村,世博,上南十村,"121.502811,31.170678",2079.0
132,低层/6层,http://sh.lianjia.com/zufang/shz3416268.html,3450,上南十村，1室1厅，有钥匙房源，交通便利,上南十村,世博,上南十村,"121.502811,31.170678",2079.0
1044,中层/6层,http://sh.lianjia.com/zufang/shz3413077.html,3700,上南十村，上门实拍，1室1厅1卫，地铁沿线,上南十村,世博,上南十村,"121.502811,31.170678",2079.0
325,低层/6层,http://sh.lianjia.com/zufang/shz3351692.html,4000,上南十村，低楼层，降价出租，小户型,上南十村,世博,上南十村,"121.502811,31.170678",2079.0
1888,低层/6层,http://sh.lianjia.com/zufang/shz3401959.html,2500,都市庭院，小户型，低楼层，真实在租,都市庭院,世博,都市庭院,"121.507110,31.179454",2081.0
632,中层/6层,http://sh.lianjia.com/zufang/shz3413002.html,2800,柿子湾小区，观望后悔莫及，紧邻地铁，上门实拍,柿子湾小区,徐家汇,柿子湾小区,"121.428994,31.189603",2087.0
76,低层/6层,http://sh.lianjia.com/zufang/shz3446955.html,3700,柿子湾小区，随时看房，低区出入方便，上门实拍,柿子湾小区,徐家汇,柿子湾小区,"121.428994,31.189603",2087.0
197,高层/6层,http://sh.lianjia.com/zufang/shz3285419.html,4000,柿子湾小区，上门实拍，高区景观房，1室1厅1卫,柿子湾小区,徐家汇,柿子湾小区,"121.428994,31.189603",2087.0
88,中层/6层,http://sh.lianjia.com/zufang/shz3445490.html,3800,泾华新村，抢鲜笋盘，链家房源，一室小户型,泾华新村,洋泾,泾华新村,"121.544046,31.245004",2090.0
633,低层/7层,http://sh.lianjia.com/zufang/shz3396130.html,4000,温馨之家，上门实拍，地铁房，低楼层,南丹小区,徐家汇,南丹小区,"121.430320,31.191289",2091.0
512,高层/6层,http://sh.lianjia.com/zufang/shz3451117.html,3490,上门实勘，高区景观好，享受好房，近地铁,南丹小区,徐家汇,南丹小区,"121.430320,31.191289",2091.0
597,中层/6层,http://sh.lianjia.com/zufang/shz3340559.html,3700,南丹小区，1室0厅，如您所见，景观房,南丹小区,徐家汇,南丹小区,"121.430320,31.191289",2091.0
