,floor,url,price,title,community,location,community_c,community_loc,duration
343,高层/7层,http://sh.lianjia.com/zufang/shz3301269.html,4000,宛龙小区，有爱有家，高清实拍，毗邻地铁,宛龙小区,龙华,宛龙小区,"121.448990,31.182232",1818.0
754,中层/5层,http://sh.lianjia.com/zufang/shz3331939.html,3200,田林一村，降价房源，上门实勘，景观房,田林一村,田林,田林一村,"121.418692,31.169610",1820.0
900,低层/5层,http://sh.lianjia.com/zufang/shz3441599.html,3800,田林一村，一室小户型，链家好房，上门实拍,田林一村,田林,田林一村,"121.418692,31.169610",1820.0
987,低层/5层,http://sh.lianjia.com/zufang/shz3352663.html,3000,田林一村，1室0厅，好房好心情，低楼层,田林一村,田林,田林一村,"121.418692,31.169610",1820.0
288,高层/6层,http://sh.lianjia.com/zufang/shz3453081.html,3500,小户型，错过不再有，上门实拍，新出好房,德州五村,世博,德州五村,"121.495443,31.167055",1822.0
1869,中层/6层,http://sh.lianjia.com/zufang/shz3381609.html,3500,德州五村，1室0厅0卫，光线充足，有爱有家,德州五村,世博,德州五村,"121.495443,31.167055",1822.0
978,中层/12层,http://sh.lianjia.com/zufang/shz3411735.html,4000,东明苑，交通便利，真实在租，空气清新,东明苑,世博,东明苑,"121.510916,31.182578",1823.0
961,高层/6层,http://sh.lianjia.com/zufang/shz3397597.html,3800,高区阳光房，链家房源，一室小户型，地铁沿线,东明苑,世博,东明苑,"121.510916,31.182578",1823.0
846,高层/1层,http://sh.lianjia.com/zufang/shz3428421.html,4000,高区景观好，降价房源，放心好房，上门实拍,德州路369号,世博,德州路369号,"121.487858,31.167519",1835.0
1553,高层/1层,http://sh.lianjia.com/zufang/shz3428422.html,3900,闹中取静，小户型，业主降价，好房好心情,德州路369号,世博,德州路369号,"121.487858,31.167519",1835.0
845,高层/1层,http://sh.lianjia.com/zufang/shz3428420.html,3800,德州路369号，真实在租，上门实勘，降价房源,德州路369号,世博,德州路369号,"121.487858,31.167519",1835.0
1944,高层/6层,http://sh.lianjia.com/zufang/shz3328727.html,4000,海运新村，观望后悔莫及，一室小户型，地铁直达,海运新村,塘桥,海运新村,"121.514442,31.206904",1839.0
